DATE,GOLD_PRICE,GOLD_OPEN,GOLD_HIGH,GOLD_LOW,GOLD_CHANGE_%
27-03-1991,355.25,358.05,355.25,355.25,-0.48
26-03-1991,356.95,359.15,356.95,356.95,-0.47
25-03-1991,358.65,363.05,358.65,358.65,-1.08
22-03-1991,362.55,364.25,362.55,362.55,0.14
21-03-1991,362.05,364.25,362.05,362.05,-0.11
20-03-1991,362.45,365.55,362.45,362.45,-0.25
19-03-1991,363.35,366.35,363.35,363.35,0.28
18-03-1991,362.35,366.55,362.35,362.35,-0.58
15-03-1991,364.45,367,364.45,364.45,-0.14
14-03-1991,364.95,367.25,364.95,364.95,-0.52
13-03-1991,366.85,367.95,366.85,366.85,0.53
12/3/1991,364.9,365.95,364.9,364.9,-0.05
11/3/1991,365.1,370.4,365.1,365.1,-1.06
8/3/1991,369,371.15,369,369,0.56
7/3/1991,366.95,367.95,366.95,366.95,0.12
6/3/1991,366.5,369.85,366.5,366.5,0.69
5/3/1991,364,367.85,364,364,-0.83
4/3/1991,367.05,368.25,367.05,367.05,0.05
1/3/1991,366.85,368.45,366.85,366.85,0.19
28-02-1991,366.15,368.35,366.15,366.15,1.4
27-02-1991,361.1,362.15,361.1,361.1,0.8
26-02-1991,358.25,361.05,358.25,358.25,-0.28
25-02-1991,359.25,359.55,359.25,359.25,0.63
22-02-1991,357,361.55,357,357,-1.26
21-02-1991,361.55,364.75,361.55,361.55,-0.65
20-02-1991,363.9,365.55,363.9,363.9,0.07
19-02-1991,363.65,365.15,363.65,363.65,-0.08
18-02-1991,363.95,365,363.95,363.95,0.05
15-02-1991,363.75,368.25,363.75,363.75,-1.14
14-02-1991,367.95,369.35,367.95,367.95,0.25
13-02-1991,367.05,368.25,367.05,367.05,0.01
12/2/1991,367,370.45,367,367,0.2
11/2/1991,366.25,369.6,366.25,366.25,-0.89
8/2/1991,369.55,371.05,369.55,369.55,0.63
7/2/1991,367.25,369.65,367.25,367.25,1.35
6/2/1991,362.35,365.65,362.35,362.35,-0.96
5/2/1991,365.85,368.95,365.85,365.85,-0.68
4/2/1991,368.35,371.15,368.35,368.35,0.77
1/2/1991,365.55,369.75,365.55,365.55,-0.22
31-01-1991,366.35,370.65,366.35,366.35,-0.43
30-01-1991,367.95,376.45,367.95,367.95,-2.23
29-01-1991,376.35,378.15,376.35,376.35,-0.07
28-01-1991,376.6,378.35,376.6,376.6,0.2
25-01-1991,375.85,377.35,375.85,375.85,0.79
24-01-1991,372.9,378.4,372.9,372.9,-1.41
23-01-1991,378.25,382.55,378.25,378.25,-0.66
22-01-1991,380.75,381.95,380.75,380.75,0.37
21-01-1991,379.35,380.25,379.35,379.35,1.4
18-01-1991,374.1,386.5,374.1,374.1,0.03
17-01-1991,374,403.2,374,374,-7.28
16-01-1991,403.38,405.18,403.38,403.38,1.1
15-01-1991,399,401.55,399,399,0.06
14-01-1991,398.75,400.45,398.75,398.75,1.85
11/1/1991,391.5,394.08,391.5,391.5,0.47
10/1/1991,389.65,391.9,389.65,389.65,-0.54
9/1/1991,391.75,392.75,391.75,391.75,0.26
8/1/1991,390.75,394.35,390.75,390.75,-0.6
7/1/1991,393.1,394.65,393.1,393.1,2.02
4/1/1991,385.3,388.95,385.3,385.3,-0.37
3/1/1991,386.75,389.05,386.75,386.75,-0.49
2/1/1991,388.65,393.75,388.65,388.65,-1.11
31-12-1990,393,394,393,393,0
28-12-1990,393,394.05,393,393,2.12
27-12-1990,384.85,385.35,384.85,384.85,0.16
26-12-1990,384.25,386.25,384.25,384.25,-1.47
25-12-1990,390,390.75,390,390,1.69
24-12-1990,383.5,385,383.5,383.5,0.54
21-12-1990,381.45,384.85,381.45,381.45,-0.57
20-12-1990,383.65,388.05,383.65,383.65,-0.16
19-12-1990,384.25,385.05,384.25,384.25,2.17
18-12-1990,376.1,378.45,376.1,376.1,-0.17
17-12-1990,376.75,377.95,376.75,376.75,0.19
14-12-1990,376.05,376.85,376.05,376.05,0.74
13-12-1990,373.3,374.05,373.3,373.3,0.42
12/12/1990,371.75,373.5,371.75,371.75,-0.13
11/12/1990,372.25,375.05,372.25,372.25,-0.27
10/12/1990,373.25,375.45,373.25,373.25,1
7/12/1990,369.55,372.6,369.55,369.55,-0.48
6/12/1990,371.35,374.45,371.35,371.35,-0.5
5/12/1990,373.2,378.95,373.2,373.2,-0.76
4/12/1990,376.05,380.95,376.05,376.05,0.13
3/12/1990,375.55,382.65,375.55,375.55,-1.75
30-11-1990,382.25,389.35,382.25,382.25,-1.32
29-11-1990,387.35,389.75,387.35,387.35,0.62
28-11-1990,384.95,387.85,384.95,384.95,-0.05
27-11-1990,385.15,386.65,385.15,385.15,-0.34
26-11-1990,386.45,388.45,386.45,386.45,0.6
23-11-1990,384.15,384.85,384.15,384.15,1.03
22-11-1990,380.25,381.25,380.25,380.25,0.24
21-11-1990,379.35,381.25,379.35,379.35,0.42
20-11-1990,377.75,382.05,377.75,377.75,-1.05
19-11-1990,381.75,383.4,381.75,381.75,0.69
16-11-1990,379.15,380.7,379.15,379.15,0.03
15-11-1990,379.05,380.05,379.05,379.05,0.42
14-11-1990,377.45,385.85,377.45,377.45,-2.02
13-11-1990,385.25,386.15,385.25,385.25,0.96
12/11/1990,381.6,385,381.6,381.6,-0.79
9/11/1990,384.65,388.8,384.65,384.65,-0.67
8/11/1990,387.25,388,387.25,387.25,0.17
7/11/1990,386.6,389.55,386.6,386.6,0.32
6/11/1990,385.35,386.25,385.35,385.35,1.69
5/11/1990,378.95,388.05,378.95,378.95,0.65
2/11/1990,376.5,381.75,376.5,376.5,-1.32
1/11/1990,381.55,383.85,381.55,381.55,0.36
